text,label,length,has_url,has_money,all_caps_ratio,exclamation_count
"Hi David, let's schedule a meeting to discuss the website redesign project.",0,75,0,0,0.02666666666666667,0
"Hi team, Q4 report kickoff meeting scheduled for Tuesday at 2pm.",0,64,0,0,0.046875,0
Reminder: Submit your invoice by Friday EOD.,0,44,0,0,0.13636363636363635,0
"Hi Tom, can you send me the proposal by end of day?",0,51,0,0,0.0392156862745098,0
"Hi Tom, please review the attached contract when you get a chance.",0,66,0,0,0.030303030303030304,0
"Hi Sarah, I'll be out of office next Wednesday. Tom will cover for me.",0,70,0,0,0.07142857142857142,0
Click here to unsubscribe: tinyurl.com/abc456 (DO NOT IGNORE),1,61,1,0,0.19672131147540983,0
Your package is waiting! Track it here: verify-account-now.net,1,62,0,0,0.03225806451612903,1
"Hi Mike, I've updated the invoice. Please review when convenient.",0,65,0,0,0.06153846153846154,0
Team lunch on Thursday at 3pm. Hope you can join!,0,49,0,0,0.061224489795918366,1
Quick question about the budget review - do you have a moment to chat?,0,70,0,0,0.014285714285714285,0
Limited time offer! Get cash for FREE! Visit tinyurl.com/abc456 ACT NOW!!!,1,74,1,1,0.17567567567567569,5
"Hi Anna, let's catch up about Q4 report over coffee this Tuesday.",0,65,0,0,0.06153846153846154,0
YOUR ACCOUNT HAS BEEN LOCKED. UNLOCK IT AT BIT.LY/XYZ123 IMMEDIATELY!,1,69,0,0,0.7681159420289855,1
Meeting reminder: Q4 report discussion tomorrow at 2pm.,0,55,0,0,0.03636363636363636,0
URGENT: YOUR ACCOUNT WILL BE SUSPENDED! CLICK HERE: URGENT-ACTION.BIZ TO VERIFY NOW!,1,84,0,0,0.7976190476190477,2
"Hi team, great work on the client presentation presentation!",0,60,0,0,0.016666666666666666,1
YOUR TAX REFUND OF ₹1000 IS READY. CLAIM IT AT BIT.LY/XYZ123,1,60,0,1,0.65,0
"Hi Anna, please review the attached proposal when you get a chance.",0,67,0,0,0.029850746268656716,0
Reminder: client presentation status meeting on Wednesday at 11am.,0,66,0,0,0.030303030303030304,0
Lose weight FAST with this ONE trick! Learn more: claim-prize-here.org,1,70,0,0,0.12857142857142856,1
"Hi team, Q4 report kickoff meeting scheduled for Tuesday at 10am.",0,65,0,0,0.046153846153846156,0
Team lunch on Tuesday at 4pm. Hope you can join!,0,48,0,0,0.0625,1
"Hi team, budget review kickoff meeting scheduled for Tuesday at 10am.",0,69,0,0,0.028985507246376812,0
"Hi team, please complete the budget review survey by Monday.",0,60,0,0,0.03333333333333333,0
Can we reschedule our website redesign meeting to Tuesday?,0,58,0,0,0.034482758620689655,0
Limited time offer! Get vacation for FREE! Visit verify-account-now.net,1,71,0,0,0.09859154929577464,2
Team update: The website redesign deadline has been moved to next Thursday.,0,75,0,0,0.04,0
URGENT ACTION REQUIRED: VERIFY YOUR IDENTITY AT VERIFY-ACCOUNT-NOW.NET WITHIN 24 HOURS,1,86,0,0,0.813953488372093,0
ALERT: SUSPICIOUS ACTIVITY DETECTED. SECURE YOUR ACCOUNT AT VERIFY-ACCOUNT-NOW.NET ACT NOW!!!,1,93,0,0,0.8064516129032258,3
Team lunch on Friday at 4pm. Hope you can join!,0,47,0,0,0.06382978723404255,1
Team update: The Q4 report deadline has been moved to next Monday.,0,66,0,0,0.06060606060606061,0
